"","hostVar","microTrt","AUDPCmeans","DONmeans","FgTameans","AUDPCse","DONse","FgTase"
"1","Alsen","NEG",0.00485588972431078,1.060633918375,0,0.00385389282857067,0.0237398750399522,0
"2","Norm","NEG",0.000625,1.18953112858333,0,0.000625,0.233448876779027,0
"3","Alsen","A30",0.169849344072742,35.183561011,0.830750662833333,0.0339873307495825,11.5185928508152,0.200035137422319
"4","Norm","A30",0.605404420141262,145.452431141667,5.61182254941667,0.0438425537447364,15.2958364858683,1.23958660780701
"5","Alsen","Q16",0.118576369282891,13.9796276849091,0.501697514909091,0.0306947755552021,3.31738224940527,0.116778110357841
"6","Norm","Q16",0.608860938181759,159.586220169167,7.45878748166667,0.0302285688679257,14.6690863746254,1.18305314160649
"7","Alsen","Q22",0.125267131720936,32.56777794675,0.84877631375,0.031380041570783,12.5976674729375,0.211434278101222
"8","Norm","Q22",0.543616328370333,131.024880670833,5.295672976,0.0315650773725968,19.4306533848909,1.07474562240052
"9","Alsen","W14",0.19718740981241,85.028057288,1.72075878483333,0.056149294300186,33.0005113630066,0.744965324848706
"10","Norm","W14",0.541983778891674,133.050065525833,5.08559435575,0.0390255829294246,16.4447423122232,0.702410639776295
"11","Alsen","Y108",0.166474058921814,40.5791628180833,1.06340113208333,0.0536471742700741,15.3900214721672,0.30855617288736
"12","Norm","Y108",0.432917900812638,77.5210324708333,3.58367641783333,0.0572965527470334,14.6302011801323,1.05934042489759
"13","Alsen","Y11",0.304996715135445,97.6456886575833,2.14794089408333,0.0354784923946517,22.9292177896075,0.683027394403943
"14","Norm","Y11",0.499229465709729,103.47149223,3.77215416516667,0.0373096970200417,17.2747645958394,0.744407137797137
"15","Alsen","Y2",0.131043844571321,16.2274638366667,0.66128826425,0.0260114082443334,2.29278509120134,0.134864413181741
"16","Norm","Y2",0.556569121667806,111.622643883333,3.96852568358333,0.0375325080561442,17.8747586139246,0.821903334316757
"17","Alsen","POS",0.182262257669866,52.6604664833333,1.14780491041667,0.0436311711554993,18.2094759227674,0.293112912372549
"18","Norm","POS",0.550350212652844,137.072167658333,5.81146786741667,0.0413920085860983,18.379000305208,1.07011448603663
