"plantID" "fullPotID" "hostVar" "potID" "plantRep" "RNASeq" "totSpikelets" "disS.d7" "disS.d10" "disS.d14" "disS.d17" "head.mass" "Notes"
"61" "13-1" "N13-Y2-F+" "Norm" "13" "1" "NO" 20 3 7 15 18 1.7 NA
"62" "13-2" "N13-Y2-F+" "Norm" "13" "2" "NO" 20 4 5 8 14 2.42 NA
"63" "13-3" "N13-Y2-F+" "Norm" "13" "3" "NO" 20 5 9 13 18 1.49 NA
"64" "13-4" "N13-Y2-F+" "Norm" "13" "4" "NO" 22 9 11 14 18 2.29 NA
"65" "13-5" "N13-Y2-F+" "Norm" "13" "5" "YES" NA NA NA NA NA NA NA
"66" "14-1" "A14-W14-F+" "Alsen" "14" "1" "NO" 23 1 1 1 2 2.54 NA
"67" "14-2" "A14-W14-F+" "Alsen" "14" "2" "NO" 21 1 0 1 1 2.53 NA
"68" "14-3" "A14-W14-F+" "Alsen" "14" "3" "NO" 20 1 1 1 1 2.77 NA
"69" "14-4" "A14-W14-F+" "Alsen" "14" "4" "NO" 21 1 1 1 1 2.87 NA
"70" "14-5" "A14-W14-F+" "Alsen" "14" "5" "YES" NA NA NA NA NA NA NA
"71" "15-1" "A15-Q22-F+" "Alsen" "15" "1" "YES" NA NA NA NA NA NA NA
"72" "15-2" "A15-Q22-F+" "Alsen" "15" "2" "NO" 21 2 2 3 4 2.85 NA
"73" "15-3" "A15-Q22-F+" "Alsen" "15" "3" "NO" 22 1 2 5 7 4.4 NA
"74" "15-4" "A15-Q22-F+" "Alsen" "15" "4" "NO" 21 2 6 8 8 1.64 NA
"75" "15-5" "A15-Q22-F+" "Alsen" "15" "5" "NO" 21 1 4 7 9 2.64 NA
"76" "16-1" "N16-B-/-F-" "Norm" "16" "1" "NO" 20 0 0 0 0 4.02 NA
"77" "16-2" "N16-B-/-F-" "Norm" "16" "2" "NO" 21 0 0 0 0 4.66 NA
"78" "16-3" "N16-B-/-F-" "Norm" "16" "3" "NO" 21 0 0 0 0 6.02 NA
"79" "16-4" "N16-B-/-F-" "Norm" "16" "4" "YES" NA NA NA NA NA NA NA
"80" "16-5" "N16-B-/-F-" "Norm" "16" "5" "NO" 20 0 0 0 0 5.49 NA
"81" "17-1" "A17-Y11-F+" "Alsen" "17" "1" "YES" NA NA NA NA NA NA NA
"82" "17-2" "A17-Y11-F+" "Alsen" "17" "2" "NO" 22 1 4 10 11 2.47 NA
"83" "17-3" "A17-Y11-F+" "Alsen" "17" "3" "NO" 18 1 4 9 14 1.21 NA
